id,title,company,domain,location,mode,duration_months,stipend,skills_required,description,apply_link
1,AI/ML Intern,DesignStudio,AI/ML,Jaipur,Hybrid,6,10000,NLP;Python;Pandas,"Work on AI/ML projects using NLP, Python, Pandas.",https://example.com/apply/1
2,AI Research Intern,Google,AI/ML,Bengaluru,Remote,6,25000,Python;TensorFlow;Deep Learning;NLP,Research in AI with TensorFlow and NLP at Google.,https://example.com/apply/2
3,ML Engineer Intern,Microsoft,AI/ML,Hyderabad,Onsite,4,20000,Scikit-learn;NumPy;Pandas;ML,Work on scalable ML models with Microsoft AI team.,https://example.com/apply/3
4,Data Science Intern,TCS,Data Science,Delhi,Onsite,3,15000,Python;Machine Learning;SQL;Pandas,Contribute to real-world analytics at TCS.,https://example.com/apply/4
5,Data Analyst Intern,NexGen Solutions,Data Science,Mumbai,Hybrid,4,12000,Python;Statistics;Tableau;PowerBI,Data visualization and predictive modeling.,https://example.com/apply/5
6,Business Intelligence Intern,Infosys,Data Science,Pune,Remote,6,18000,SQL;PowerBI;ETL;Data Mining,Work on BI dashboards and analytics pipelines.,https://example.com/apply/6
7,Frontend Developer Intern,Flipkart,Web Development,Bengaluru,Onsite,3,15000,React;CSS;JavaScript;UI/UX,Develop user-friendly frontend solutions at Flipkart.,https://example.com/apply/7
8,Full Stack Developer Intern,Zomato,Web Development,Delhi,Hybrid,4,18000,Node.js;React;MongoDB;JavaScript,End-to-end web development with real-world impact.,https://example.com/apply/8
9,Backend Developer Intern,Paytm,Web Development,Noida,Remote,2,12000,Node.js;Express;MongoDB;APIs,Develop and maintain backend services.,https://example.com/apply/9
10,Android Developer Intern,Ola,Mobile Development,Mumbai,Onsite,3,14000,Kotlin;Java;Firebase;Android Studio,Work on Android apps with Ola mobility team.,https://example.com/apply/10
11,iOS Developer Intern,Swiggy,Mobile Development,Bengaluru,Remote,4,16000,Swift;iOS;Xcode;Firebase,Develop iOS applications for Swiggy.,https://example.com/apply/11
12,Flutter Intern,BYJU'S,Mobile Development,Hyderabad,Hybrid,6,18000,Flutter;Dart;Firebase;REST,Work on cross-platform apps with Flutter.,https://example.com/apply/12
13,Digital Marketing Intern,HUL,Marketing,Mumbai,Hybrid,3,8000,SEO;Google Analytics;Content Writing;Social Media,Work on digital marketing campaigns at HUL.,https://example.com/apply/13
14,Brand Strategy Intern,P&G,Marketing,Delhi,Onsite,2,10000,Market Research;Advertising;Excel,Assist with brand strategy and research.,https://example.com/apply/14
15,Social Media Intern,Zomato,Marketing,Gurugram,Remote,2,9000,Content Creation;Analytics;SEO;Social Media,Manage social media campaigns for Zomato.,https://example.com/apply/15
16,Cybersecurity Intern - Project 1,CybersecurityCorp,Cybersecurity,Various Cities,Hybrid,2,5000,Skill1;Skill2;Skill3,Contribute to Cybersecurity projects and gain hands-on experience.,https://example.com/apply/16
17,Cybersecurity Intern - Project 2,CybersecurityCorp,Cybersecurity,Various Cities,Hybrid,3,7000,Skill2;Skill3;Skill4,Contribute to Cybersecurity projects and gain hands-on experience.,https://example.com/apply/17
18,Cybersecurity Intern - Project 3,CybersecurityCorp,Cybersecurity,Various Cities,Hybrid,4,9000,Skill3;Skill4;Skill5,Contribute to Cybersecurity projects and gain hands-on experience.,https://example.com/apply/18
19,Cybersecurity Intern - Project 4,CybersecurityCorp,Cybersecurity,Various Cities,Hybrid,5,11000,Skill4;Skill5;Skill6,Contribute to Cybersecurity projects and gain hands-on experience.,https://example.com/apply/19
20,Cybersecurity Intern - Project 5,CybersecurityCorp,Cybersecurity,Various Cities,Hybrid,6,13000,Skill5;Skill6;Skill7,Contribute to Cybersecurity projects and gain hands-on experience.,https://example.com/apply/20
21,Cybersecurity Intern - Project 6,CybersecurityCorp,Cybersecurity,Various Cities,Hybrid,7,5000,Skill6;Skill7;Skill8,Contribute to Cybersecurity projects and gain hands-on experience.,https://example.com/apply/21
22,Cybersecurity Intern - Project 7,CybersecurityCorp,Cybersecurity,Various Cities,Hybrid,2,7000,Skill7;Skill8;Skill9,Contribute to Cybersecurity projects and gain hands-on experience.,https://example.com/apply/22
23,Cybersecurity Intern - Project 8,CybersecurityCorp,Cybersecurity,Various Cities,Hybrid,3,9000,Skill8;Skill9;Skill10,Contribute to Cybersecurity projects and gain hands-on experience.,https://example.com/apply/23
24,Cybersecurity Intern - Project 9,CybersecurityCorp,Cybersecurity,Various Cities,Hybrid,4,11000,Skill9;Skill10;Skill11,Contribute to Cybersecurity projects and gain hands-on experience.,https://example.com/apply/24
25,Cybersecurity Intern - Project 10,CybersecurityCorp,Cybersecurity,Various Cities,Hybrid,5,13000,Skill10;Skill11;Skill12,Contribute to Cybersecurity projects and gain hands-on experience.,https://example.com/apply/25
26,Cybersecurity Intern - Project 11,CybersecurityCorp,Cybersecurity,Various Cities,Hybrid,6,5000,Skill11;Skill12;Skill13,Contribute to Cybersecurity projects and gain hands-on experience.,https://example.com/apply/26
27,Cybersecurity Intern - Project 12,CybersecurityCorp,Cybersecurity,Various Cities,Hybrid,7,7000,Skill12;Skill13;Skill14,Contribute to Cybersecurity projects and gain hands-on experience.,https://example.com/apply/27
28,Cloud Intern - Project 1,CloudCorp,Cloud,Various Cities,Hybrid,2,5000,Skill1;Skill2;Skill3,Contribute to Cloud projects and gain hands-on experience.,https://example.com/apply/28
29,Cloud Intern - Project 2,CloudCorp,Cloud,Various Cities,Hybrid,3,7000,Skill2;Skill3;Skill4,Contribute to Cloud projects and gain hands-on experience.,https://example.com/apply/29
30,Cloud Intern - Project 3,CloudCorp,Cloud,Various Cities,Hybrid,4,9000,Skill3;Skill4;Skill5,Contribute to Cloud projects and gain hands-on experience.,https://example.com/apply/30
31,Cloud Intern - Project 4,CloudCorp,Cloud,Various Cities,Hybrid,5,11000,Skill4;Skill5;Skill6,Contribute to Cloud projects and gain hands-on experience.,https://example.com/apply/31
32,Cloud Intern - Project 5,CloudCorp,Cloud,Various Cities,Hybrid,6,13000,Skill5;Skill6;Skill7,Contribute to Cloud projects and gain hands-on experience.,https://example.com/apply/32
33,Cloud Intern - Project 6,CloudCorp,Cloud,Various Cities,Hybrid,7,5000,Skill6;Skill7;Skill8,Contribute to Cloud projects and gain hands-on experience.,https://example.com/apply/33
34,Cloud Intern - Project 7,CloudCorp,Cloud,Various Cities,Hybrid,2,7000,Skill7;Skill8;Skill9,Contribute to Cloud projects and gain hands-on experience.,https://example.com/apply/34
35,Cloud Intern - Project 8,CloudCorp,Cloud,Various Cities,Hybrid,3,9000,Skill8;Skill9;Skill10,Contribute to Cloud projects and gain hands-on experience.,https://example.com/apply/35
36,Cloud Intern - Project 9,CloudCorp,Cloud,Various Cities,Hybrid,4,11000,Skill9;Skill10;Skill11,Contribute to Cloud projects and gain hands-on experience.,https://example.com/apply/36
37,Cloud Intern - Project 10,CloudCorp,Cloud,Various Cities,Hybrid,5,13000,Skill10;Skill11;Skill12,Contribute to Cloud projects and gain hands-on experience.,https://example.com/apply/37
38,Cloud Intern - Project 11,CloudCorp,Cloud,Various Cities,Hybrid,6,5000,Skill11;Skill12;Skill13,Contribute to Cloud projects and gain hands-on experience.,https://example.com/apply/38
39,Cloud Intern - Project 12,CloudCorp,Cloud,Various Cities,Hybrid,7,7000,Skill12;Skill13;Skill14,Contribute to Cloud projects and gain hands-on experience.,https://example.com/apply/39
40,DevOps Intern - Project 1,DevOpsCorp,DevOps,Various Cities,Hybrid,2,5000,Skill1;Skill2;Skill3,Contribute to DevOps projects and gain hands-on experience.,https://example.com/apply/40
41,DevOps Intern - Project 2,DevOpsCorp,DevOps,Various Cities,Hybrid,3,7000,Skill2;Skill3;Skill4,Contribute to DevOps projects and gain hands-on experience.,https://example.com/apply/41
42,DevOps Intern - Project 3,DevOpsCorp,DevOps,Various Cities,Hybrid,4,9000,Skill3;Skill4;Skill5,Contribute to DevOps projects and gain hands-on experience.,https://example.com/apply/42
43,DevOps Intern - Project 4,DevOpsCorp,DevOps,Various Cities,Hybrid,5,11000,Skill4;Skill5;Skill6,Contribute to DevOps projects and gain hands-on experience.,https://example.com/apply/43
44,DevOps Intern - Project 5,DevOpsCorp,DevOps,Various Cities,Hybrid,6,13000,Skill5;Skill6;Skill7,Contribute to DevOps projects and gain hands-on experience.,https://example.com/apply/44
45,DevOps Intern - Project 6,DevOpsCorp,DevOps,Various Cities,Hybrid,7,5000,Skill6;Skill7;Skill8,Contribute to DevOps projects and gain hands-on experience.,https://example.com/apply/45
46,DevOps Intern - Project 7,DevOpsCorp,DevOps,Various Cities,Hybrid,2,7000,Skill7;Skill8;Skill9,Contribute to DevOps projects and gain hands-on experience.,https://example.com/apply/46
47,DevOps Intern - Project 8,DevOpsCorp,DevOps,Various Cities,Hybrid,3,9000,Skill8;Skill9;Skill10,Contribute to DevOps projects and gain hands-on experience.,https://example.com/apply/47
48,DevOps Intern - Project 9,DevOpsCorp,DevOps,Various Cities,Hybrid,4,11000,Skill9;Skill10;Skill11,Contribute to DevOps projects and gain hands-on experience.,https://example.com/apply/48
49,DevOps Intern - Project 10,DevOpsCorp,DevOps,Various Cities,Hybrid,5,13000,Skill10;Skill11;Skill12,Contribute to DevOps projects and gain hands-on experience.,https://example.com/apply/49
50,DevOps Intern - Project 11,DevOpsCorp,DevOps,Various Cities,Hybrid,6,5000,Skill11;Skill12;Skill13,Contribute to DevOps projects and gain hands-on experience.,https://example.com/apply/50
